날짜,예측,결과
2022-01-06,1,-1
2022-01-07,1,1
2022-01-10,1,-1
2022-01-11,1,1
2022-01-12,1,0
2022-01-13,1,-1
2022-01-14,1,-1
2022-01-17,-1,1
2022-01-18,1,-1
2022-01-19,1,-1
2022-01-20,1,1
2022-01-21,1,-1
2022-01-24,1,-1
2022-01-25,1,-1
2022-01-26,1,0
2022-01-27,1,-1
2022-01-28,1,1
2022-02-03,1,0
2022-02-04,1,1
2022-02-07,1,-1
2022-02-08,1,0
2022-02-09,1,0
2022-02-10,1,1
2022-02-11,1,-1
2022-02-14,1,-1
2022-02-15,1,0
2022-02-16,1,1
2022-02-17,1,1
2022-02-18,1,-1
2022-02-21,1,0
2022-02-22,1,0
2022-02-23,1,0
2022-02-24,1,-1
2022-02-25,1,1
2022-02-28,-1,0
2022-03-02,-1,-1
2022-03-03,1,1
2022-03-04,1,0
2022-03-07,1,-1
2022-03-08,1,-1
2022-03-10,1,0
2022-03-11,1,1
2022-03-14,1,1
2022-03-15,1,0
2022-03-16,1,1
2022-03-17,1,0
2022-03-18,1,1
2022-03-21,1,-1
2022-03-22,-1,1
2022-03-23,1,1
2022-03-24,1,-1
2022-03-25,1,0
2022-03-28,-1,-1
2022-03-29,-1,1
2022-03-30,1,1
2022-03-31,1,-1
2022-04-01,1,-1
2022-04-04,1,1
2022-04-05,1,-1
2022-04-06,1,-1
2022-04-07,1,-1
2022-04-08,1,-1
2022-04-11,1,1
2022-04-12,1,-1
2022-04-13,1,1
2022-04-14,1,-1
2022-04-15,1,-1
2022-04-18,1,1
2022-04-19,1,1
2022-04-20,1,1
2022-04-21,1,1
2022-04-22,1,-1
2022-04-25,1,-1
2022-04-26,1,-1
2022-04-27,1,-1
2022-04-28,1,-1
2022-04-29,1,1
2022-05-02,1,-1
2022-05-03,1,1
2022-05-04,1,1
2022-05-06,1,-1
2022-05-10,1,-1
2022-05-11,1,0
2022-05-12,1,-1
2022-05-13,1,1
2022-05-16,1,-1
2022-05-17,1,1
2022-05-18,1,1
2022-05-19,1,-1
2022-05-20,1,1
2022-05-23,1,-1
2022-05-24,1,-1
2022-05-25,1,-1
2022-05-26,1,-1
2022-05-27,1,1
2022-05-30,1,1
2022-05-31,1,-1
2022-06-02,1,-1
2022-06-03,1,1
2022-06-07,1,-1
2022-06-08,1,-1
2022-06-09,1,-1
2022-06-10,1,-1
2022-06-13,1,-1
2022-06-14,1,-1
2022-06-15,1,-1
2022-06-16,1,1
2022-06-17,1,-1
2022-06-20,1,-1
2022-06-21,1,-1
2022-06-22,1,-1
2022-06-23,1,-1
2022-06-24,1,1
2022-06-27,1,1
2022-06-28,1,1
2022-06-29,1,-1
2022-06-30,1,-1
2022-07-01,1,-1
2022-07-04,1,1
2022-07-05,1,1
2022-07-06,-1,-1
2022-07-07,1,1
2022-07-08,1,1
2022-07-11,1,1
2022-07-12,1,-1
2022-07-13,1,-1
2022-07-14,1,-1
2022-07-15,1,1
2022-07-18,1,1
2022-07-19,1,-1
2022-07-20,1,-1
2022-07-21,1,1
2022-07-22,1,-1
2022-07-25,1,-1
2022-07-26,1,1
2022-07-27,1,1
2022-07-28,1,1
2022-07-29,1,-1
2022-08-01,1,-1
2022-08-02,1,1
2022-08-03,1,-1
2022-08-04,1,1
2022-08-05,1,0
2022-08-08,-1,-1
2022-08-09,1,-1
2022-08-10,1,-1
2022-08-11,1,1
2022-08-12,1,1
2022-08-16,1,1
2022-08-17,1,-1
2022-08-18,1,1
2022-08-19,1,-1
2022-08-22,1,-1
2022-08-23,1,-1
2022-08-24,1,-1
2022-08-25,1,1
2022-08-26,1,1
2022-08-29,1,-1
2022-08-30,1,1
2022-08-31,1,1
2022-09-01,1,-1
2022-09-02,1,-1
2022-09-05,1,-1
2022-09-06,1,0
2022-09-07,1,-1
2022-09-08,1,-1
2022-09-13,1,1
2022-09-14,1,-1
2022-09-15,1,-1
2022-09-16,1,1
2022-09-19,1,1
2022-09-20,1,-1
2022-09-21,1,-1
2022-09-22,1,-1
2022-09-23,1,1
2022-09-26,1,-1
2022-09-27,1,1
2022-09-28,1,-1
2022-09-29,1,1
2022-09-30,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,1,-1
2022-10-11,1,-1
2022-10-12,1,1
2022-10-13,1,-1
2022-10-14,1,1
2022-10-17,1,1
2022-10-18,1,-1
2022-10-19,1,-1
2022-10-20,1,-1
2022-10-21,1,1
2022-10-24,1,1
2022-10-25,1,1
2022-10-26,-1,1
2022-10-27,-1,1
2022-10-28,1,-1
2022-10-31,1,1
2022-11-01,1,1
2022-11-02,1,-1
2022-11-03,1,-1
2022-11-04,1,1
2022-11-07,1,1
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,1,-1
2022-11-11,1,1
2022-11-14,1,-1
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,1,-1
2022-11-18,1,1
2022-11-21,-1,-1
2022-11-22,1,-1
2022-11-23,1,1
2022-11-24,1,1
2022-11-25,1,-1
2022-11-28,-1,-1
2022-11-29,1,1
2022-11-30,1,1
